,Country,Climate,HouseType,RennovationDegree,Number
240,CY,N,SFH,002,CY.N.SFH.02.Gen.ReEx.001.002
241,CY,N,SFH,003,CY.N.SFH.02.Gen.ReEx.001.003
242,CY,N,SFH,001,CY.N.SFH.03.Gen.ReEx.001.001
243,CY,N,SFH,002,CY.N.SFH.03.Gen.ReEx.001.002
244,CY,N,SFH,003,CY.N.SFH.03.Gen.ReEx.001.003
245,CY,N,SFH,001,CY.N.SFH.04.Gen.ReEx.001.001
246,CY,N,SFH,002,CY.N.SFH.04.Gen.ReEx.001.002
247,CY,N,SFH,003,CY.N.SFH.04.Gen.ReEx.001.003
248,CY,N,TH,001,CY.N.TH.01.Gen.ReEx.001.001
249,CY,N,TH,002,CY.N.TH.01.Gen.ReEx.001.002
250,CY,N,TH,003,CY.N.TH.01.Gen.ReEx.001.003
251,CY,N,TH,001,CY.N.TH.02.Gen.ReEx.001.001
252,CY,N,TH,002,CY.N.TH.02.Gen.ReEx.001.002
253,CY,N,TH,003,CY.N.TH.02.Gen.ReEx.001.003
254,CY,N,TH,001,CY.N.TH.03.Gen.ReEx.001.001
255,CY,N,TH,002,CY.N.TH.03.Gen.ReEx.001.002
256,CY,N,TH,003,CY.N.TH.03.Gen.ReEx.001.003
257,CY,N,TH,001,CY.N.TH.04.Gen.ReEx.001.001
258,CY,N,TH,002,CY.N.TH.04.Gen.ReEx.001.002
259,CY,N,TH,003,CY.N.TH.04.Gen.ReEx.001.003
260,CZ,N,AB,001,CZ.N.AB.01.Gen.ReEx.001.001
261,CZ,N,AB,002,CZ.N.AB.01.Gen.ReEx.001.002
262,CZ,N,AB,003,CZ.N.AB.01.Gen.ReEx.001.003
263,CZ,N,AB,001,CZ.N.AB.02.Gen.ReEx.001.001
264,CZ,N,AB,002,CZ.N.AB.02.Gen.ReEx.001.002
265,CZ,N,AB,003,CZ.N.AB.02.Gen.ReEx.001.003
266,CZ,N,AB,001,CZ.N.AB.03.Gen.ReEx.001.001
267,CZ,N,AB,002,CZ.N.AB.03.Gen.ReEx.001.002
268,CZ,N,AB,003,CZ.N.AB.03.Gen.ReEx.001.003
269,CZ,N,AB,001,CZ.N.AB.04.Gen.ReEx.001.001
270,CZ,N,AB,002,CZ.N.AB.04.Gen.ReEx.001.002
271,CZ,N,AB,003,CZ.N.AB.04.Gen.ReEx.001.003
272,CZ,N,AB,001,CZ.N.AB.05.Gen.ReEx.001.001
273,CZ,N,AB,002,CZ.N.AB.05.Gen.ReEx.001.002
274,CZ,N,AB,003,CZ.N.AB.05.Gen.ReEx.001.003
275,CZ,N,AB,001,CZ.N.AB.06.Gen.ReEx.001.001
276,CZ,N,AB,002,CZ.N.AB.06.Gen.ReEx.001.002
277,CZ,N,AB,003,CZ.N.AB.06.Gen.ReEx.001.003
278,CZ,N,MFH,001,CZ.N.MFH.01.Gen.ReEx.001.001
279,CZ,N,MFH,002,CZ.N.MFH.01.Gen.ReEx.001.002
280,CZ,N,MFH,003,CZ.N.MFH.01.Gen.ReEx.001.003
281,CZ,N,MFH,001,CZ.N.MFH.02.Gen.ReEx.001.001
282,CZ,N,MFH,002,CZ.N.MFH.02.Gen.ReEx.001.002
283,CZ,N,MFH,003,CZ.N.MFH.02.Gen.ReEx.001.003
284,CZ,N,MFH,001,CZ.N.MFH.03.Gen.ReEx.001.001
285,CZ,N,MFH,002,CZ.N.MFH.03.Gen.ReEx.001.002
286,CZ,N,MFH,003,CZ.N.MFH.03.Gen.ReEx.001.003
287,CZ,N,MFH,001,CZ.N.MFH.04.Gen.ReEx.001.001
288,CZ,N,MFH,002,CZ.N.MFH.04.Gen.ReEx.001.002
289,CZ,N,MFH,003,CZ.N.MFH.04.Gen.ReEx.001.003
290,CZ,N,MFH,001,CZ.N.MFH.05.Gen.ReEx.001.001
291,CZ,N,MFH,002,CZ.N.MFH.05.Gen.ReEx.001.002
292,CZ,N,MFH,003,CZ.N.MFH.05.Gen.ReEx.001.003
293,CZ,N,MFH,001,CZ.N.MFH.06.Gen.ReEx.001.001
294,CZ,N,MFH,002,CZ.N.MFH.06.Gen.ReEx.001.002
295,CZ,N,MFH,003,CZ.N.MFH.06.Gen.ReEx.001.003
296,CZ,N,MFH,001,CZ.N.MFH.07.Gen.ReEx.001.001
297,CZ,N,MFH,002,CZ.N.MFH.07.Gen.ReEx.001.002
298,CZ,N,MFH,003,CZ.N.MFH.07.Gen.ReEx.001.003
299,CZ,N,SFH,001,CZ.N.SFH.01.Gen.ReEx.001.001
300,CZ,N,SFH,002,CZ.N.SFH.01.Gen.ReEx.001.002
301,CZ,N,SFH,003,CZ.N.SFH.01.Gen.ReEx.001.003
302,CZ,N,SFH,001,CZ.N.SFH.02.Gen.ReEx.001.001
303,CZ,N,SFH,002,CZ.N.SFH.02.Gen.ReEx.001.002
304,CZ,N,SFH,003,CZ.N.SFH.02.Gen.ReEx.001.003
305,CZ,N,SFH,001,CZ.N.SFH.03.Gen.ReEx.001.001
306,CZ,N,SFH,002,CZ.N.SFH.03.Gen.ReEx.001.002
307,CZ,N,SFH,003,CZ.N.SFH.03.Gen.ReEx.001.003
308,CZ,N,SFH,001,CZ.N.SFH.04.Gen.ReEx.001.001
309,CZ,N,SFH,002,CZ.N.SFH.04.Gen.ReEx.001.002
310,CZ,N,SFH,003,CZ.N.SFH.04.Gen.ReEx.001.003
311,CZ,N,SFH,001,CZ.N.SFH.05.Gen.ReEx.001.001
312,CZ,N,SFH,002,CZ.N.SFH.05.Gen.ReEx.001.002
313,CZ,N,SFH,003,CZ.N.SFH.05.Gen.ReEx.001.003
314,CZ,N,SFH,001,CZ.N.SFH.06.Gen.ReEx.001.001
315,CZ,N,SFH,002,CZ.N.SFH.06.Gen.ReEx.001.002
316,CZ,N,SFH,003,CZ.N.SFH.06.Gen.ReEx.001.003
317,CZ,N,SFH,001,CZ.N.SFH.07.Gen.ReEx.001.001
318,CZ,N,SFH,002,CZ.N.SFH.07.Gen.ReEx.001.002
319,CZ,N,SFH,003,CZ.N.SFH.07.Gen.ReEx.001.003
320,CZ,N,TH,001,CZ.N.TH.01.Gen.ReEx.001.001
321,CZ,N,TH,002,CZ.N.TH.01.Gen.ReEx.001.002
322,CZ,N,TH,003,CZ.N.TH.01.Gen.ReEx.001.003
323,CZ,N,TH,001,CZ.N.TH.02.Gen.ReEx.001.001
324,CZ,N,TH,002,CZ.N.TH.02.Gen.ReEx.001.002
325,CZ,N,TH,003,CZ.N.TH.02.Gen.ReEx.001.003
326,CZ,N,TH,001,CZ.N.TH.03.Gen.ReEx.001.001
327,CZ,N,TH,002,CZ.N.TH.03.Gen.ReEx.001.002
328,CZ,N,TH,003,CZ.N.TH.03.Gen.ReEx.001.003
329,CZ,N,TH,001,CZ.N.TH.04.Gen.ReEx.001.001
330,CZ,N,TH,002,CZ.N.TH.04.Gen.ReEx.001.002
331,CZ,N,TH,003,CZ.N.TH.04.Gen.ReEx.001.003
332,CZ,N,TH,001,CZ.N.TH.05.Gen.ReEx.001.001
333,CZ,N,TH,002,CZ.N.TH.05.Gen.ReEx.001.002
334,CZ,N,TH,003,CZ.N.TH.05.Gen.ReEx.001.003
335,CZ,N,TH,001,CZ.N.TH.06.Gen.ReEx.001.001
336,CZ,N,TH,002,CZ.N.TH.06.Gen.ReEx.001.002
337,CZ,N,TH,003,CZ.N.TH.06.Gen.ReEx.001.003
338,CZ,N,TH,001,CZ.N.TH.07.Gen.ReEx.001.001
339,CZ,N,TH,002,CZ.N.TH.07.Gen.ReEx.001.002
340,CZ,N,TH,003,CZ.N.TH.07.Gen.ReEx.001.003
341,DE,N,AB,001,DE.N.AB.02.Gen.ReEx.001.001
342,DE,N,AB,002,DE.N.AB.02.Gen.ReEx.001.002
343,DE,N,AB,003,DE.N.AB.02.Gen.ReEx.001.003
344,DE,N,AB,001,DE.N.AB.03.Gen.ReEx.001.001
345,DE,N,AB,002,DE.N.AB.03.Gen.ReEx.001.002
346,DE,N,AB,003,DE.N.AB.03.Gen.ReEx.001.003
347,DE,N,AB,001,DE.N.AB.04.Gen.ReEx.001.001
348,DE,N,AB,002,DE.N.AB.04.Gen.ReEx.001.002
349,DE,N,AB,003,DE.N.AB.04.Gen.ReEx.001.003
350,DE,N,AB,001,DE.N.AB.05.Gen.ReEx.001.001
351,DE,N,AB,002,DE.N.AB.05.Gen.ReEx.001.002
352,DE,N,AB,003,DE.N.AB.05.Gen.ReEx.001.003
353,DE,N,AB,001,DE.N.AB.06.Gen.ReEx.001.001
354,DE,N,AB,002,DE.N.AB.06.Gen.ReEx.001.002
